Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
00541,1864,Black-tailed Gull,Goéland à queue noire,Larus crassirostris,BTGU,Black-tailed Gull,BlacktailedGull,Larus,crassirostris,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00542,1860,Belcher's Gull,NULL,Larus belcheri,BEGU,Belcher's Gull,BelchersGull,Larus,belcheri,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00550,1868,Mew Gull,Goéland cendré,Larus canus,MEGU,Mew Gull,MewGull,Larus,canus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00551,1848,Black-headed Gull,Mouette rieuse,Larus ridibundus,BHGU,Black-headed Gull,BlackheadedGull,Larus,ridibundus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00570,1856,Heermann's Gull,Goéland de Heermann,Larus heermanni,HEEG,Heermann's Gull,HeermannsGull,Larus,heermanni,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00580,1836,Laughing Gull,Mouette atricille,Larus atricilla,LAGU,Laughing Gull,LaughingGull,Larus,atricilla,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00590,1840,Franklin's Gull,Mouette de Franklin,Larus pipixcan,FRGU,Franklin's Gull,FranklinsGull,Larus,pipixcan,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00600,1852,Bonaparte's Gull,Mouette de Bonaparte,Larus philadelphia,BOGU,Bonaparte's Gull,BonapartesGull,Larus,philadelphia,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00601,1844,Little Gull,Mouette pygmée,Larus minutus,LIGU,Little Gull,LittleGull,Larus,minutus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00610,1940,Ross's Gull,Mouette rosée,Rhodostethia rosea,ROGU,Ross's Gull,RosssGull,Rhodostethia,rosea,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00620,1928,Sabine's Gull,Mouette de Sabine,Xema sabini,SAGU,Sabine's Gull,SabinesGull,Xema,sabini,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
